"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"Who did this 😂😂😂","133080","74","2026-03-01T19:40:05.000Z","calicats213","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7349665832542176299","7612374229702656799","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/287627dcae0f3d6b247728b8d7ec2600~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5f66bdf8&x-expires=1778400000&x-signature=dNyjHSlnvrV6eadPmCxg4jRxIbs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"what exactly are you getting out of this","91553","80","2026-03-01T14:56:20.000Z","content.rated.e","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7029466204613559301","7612301054297817886","https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/91952977aac1b3420bca93e00656c109~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e94073cc&x-expires=1778400000&x-signature=sK4etOne1j35PN6eIWYbjwsGd5I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Dude playing with people jobs 😂","19387","7","2026-03-02T00:22:43.000Z","dimeb0","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","6808144289534821382","7612447076961600286","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/1b1d8ed38e9e41ab56abe938b7d0b471~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1ace1061&x-expires=1778400000&x-signature=SGldgrudqgdmteomLGQKZWN9Rrk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Imagine the people working there saw the TikTok","16719","8","2026-03-02T00:18:24.000Z","meddy.org","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7417583628098274346","7612445851001373454","https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/94c10ed421c9376f7a5ec1b9cf80eccf~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=da3d3bd2&x-expires=1778400000&x-signature=cKIkUNmp6rR6ScNkKnpZrLTMNcw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"gaspillage.","395","5","2026-04-22T20:04:17.000Z","youngproducer_off","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","6844217188502012934","7631676891376796438","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7333386893058375686~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=054b052e&x-expires=1778400000&x-signature=QbNrr4H87s51P8jNX2LyUNRqqak%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"""now who did this""😭","8442","4","2026-03-02T00:55:35.000Z","_zaywiththashifts","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","6915810975149048837","7612455502006534943","https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/b2577e73fde98dce6986be60ca43f8c3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c6e12ede&x-expires=1778400000&x-signature=1jK5hULCSNkvx16ixPrhmM4tpyo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Food waste at it’s finest","3560","5","2026-03-02T01:10:57.000Z","casuallyaiyana","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","6760822486050538501","7612459433600156447","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/887b636c841331661d7b86221acf2398~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8897a181&x-expires=1778400000&x-signature=Pvh5XzdGfFwPgGoq09REpmafX2U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"People losing their job over this? That ain't funny...AT ALL","16311","25","2026-03-02T00:18:42.000Z","donniealexander34","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","6977489596646474758","7612446009129911053","https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7335999084803751941~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=227edcac&x-expires=1778400000&x-signature=fzBjE%2F8AoP5uFnjH60r4X3wJNdc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Extra….what…?","741","0","2026-03-02T03:13:36.000Z","7.danna","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7009005178973029381","7612491060821263124","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/91cca3876579bf65d88defd1487a4d59~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3a851bb4&x-expires=1778400000&x-signature=0%2FRu%2Fm9hFg0F%2BzZUcv8oajvi7P4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"new sticker","2248","6","2026-03-02T02:11:26.000Z","beltboy19","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7489855149905904682","7612475066068337421","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/25fd117c75234ce2ff3d5aedbff87102~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4845c07b&x-expires=1778400000&x-signature=LQD2CdzUtXrZRU3mwZmiZOni0Ps%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"“Now who did this” LMAOOO","2368","2","2026-03-01T21:58:39.000Z","br4tty.nayaa","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7014889355148870661","7612409920117654302","https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/85b0ce56198d01005d3d8ce79561d790~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5573a8d7&x-expires=1778400000&x-signature=AuE7279rORqobrymTeh7XpedyE0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Yea something ain’t right","3242","0","2026-03-01T21:02:47.000Z","bs_player0330","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7562953354587489335","7612395518778000158","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/e9d960ffefcc0e5bac8225a5e0a538eb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=bc02ff78&x-expires=1778400000&x-signature=gn2BwdEs7zuk9GVU2lxmVJnTWY4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"[Sticker] No hay comentarios en español solo somos tú y yo","1384","25","2026-03-02T01:26:15.000Z","josiel_diaz1","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7051063811509257263","7612463395720184590","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/cec249306051f1d6d1d13261efef68f0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=120afac6&x-expires=1778400000&x-signature=Z9dLeCsu7A1Pu5ATjE4qVh7THBU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"getting people fired is crazy work bro","5287","8","2026-03-01T22:20:00.000Z","unhingedtakes","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","6782422618622182406","7612415399837319949","https://p16-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/dc96ffb0c702192acf198a37af0abccf~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c6278ed0&x-expires=1778400000&x-signature=hKhM6J%2Fo1d99ADd2UsY7rXdHfzw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"All them workers watching this video right now like….","2683","0","2026-03-02T02:19:13.000Z","mande.916","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7094012334305412142","7612477054164648735","https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/fc5fe9cec41d15de9ac9d9ecefa8d636~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ec2273dc&x-expires=1778400000&x-signature=QMMBYQzqXelcLG%2BqhFlLHvID5gM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Not fun","1004","8","2026-03-02T08:28:25.000Z","ma1sun5","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7430088667559052293","7612572231419446017","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/864af2bce20e0d4e9ed96fe74d8daf13~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=cbb065aa&x-expires=1778400000&x-signature=iFB2kDN1I0OklPMEHj%2FhfGW4lIE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Hold on, McDonalds allowed to cuss😭","5576","21","2026-03-01T23:53:58.000Z","livi1871","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7474336728299193390","7612439521524204301","https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/e4ec1c9f8bce47f3c201e7af9562e5ca~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=77b6a291&x-expires=1778400000&x-signature=00hVTDq65ibaiKfmm4GV5rlzDew%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Bro if you think about it he’s losing money","18343","52","2026-03-01T19:23:56.000Z","retinasuny","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7084598412112593963","7612370023558152990","https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/9e20a40d5a89979acb3e6ace364c8536~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=11d02530&x-expires=1778400000&x-signature=bZUgTHzl6w9Z7SBZMQxCpBvaWGk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"He got four people fired","1416","0","2026-03-01T16:48:28.000Z","noah.carrion1","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7573367002808747022","7612329966118322975","https://p19-common-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/60541a81084aeb2fc343f3cd2c4f88be~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d0f46220&x-expires=1778400000&x-signature=7AbsiHqz4FymAoU0VmMlQ56LRm4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"She knew 🤣","1683","2","2026-03-01T22:16:56.000Z","dollar_menu_","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","6914183092198982662","7612414616883315487","https://p16-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/d106075df7d8b27e3632cb48ddeef4a1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8a61368e&x-expires=1778400000&x-signature=6f5AsH88%2FdWmzGUTxQM4f6%2FjU2s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"its funny but people could lose their jobs thats not funny","20","0","2026-04-28T12:46:07.000Z","jj203571","https://www.tiktok.com/@user6611908121759/video/7612233575705955597","7246903653406802971","7633790436360897302","https://p19-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-euttp/04a8dce14a950739779993e1dd8d040c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=49fb60fe&x-expires=1778400000&x-signature=VUMIS%2Fp8F%2FQl%2BscO09J1HK5gEMI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
